Area,Course #,Section #,Course Title,Instructor / Teaching Team,Time,Location,Credits,Enroll Limits,Waitlist,Notes,Curriculum Category
Interdisciplinary,CIE2018B,01,Curriculum Innov Experiment: Quantitative Engineering Analysis II,"Christianson, Rebecca; Dusek, Jeff; Houston- Edwards, Kelsey; Nugent, Carrie; Ruvolo, Paul",MR 1:30-5:00pm,AC109,8,32,no,must have successfully completed CIE2018A QEA I in Spring 2018,"Lin I, Lin II, Physics
Fnd, Signals Systems, Dynamics"
Interdisciplinary,CIE2018B,02,Curriculum Innov Experiment: Quantitative Engineering Analysis II,"Christianson, Rebecca; Dusek, Jeff; Houston- Edwards, Kelsey; Nugent, Carrie; Ruvolo, Paul",MR 1:30-5:00pm,AC113,8,32,no,must have successfully completed CIE2018A QEA I in Spring 2018,"Lin I, Lin II, Physics
Fnd, Signals Systems, Dynamics"
Interdisciplinary,ENGR3533/M TH2133,01,ENGR3533/MTH2133: Computational Bayesian Statistics,"Downey, Allen",TF 1:30-3:10pm,AC318,2+2,25,"yes, small","must enroll in both ENGR3533 and
MTH2133",Math - ProbStat Requirement ; Elective E:C
Interdisciplinary,"MTH2132
/SCI2032",01,MTH2132/SCI2032: Bayesian Inference and Reasoning,"Mahajan, Sanjoy",TF 10:50-12:30pm,AC328,2+2,50,"yes, small",must enroll in both MTH2132 and SCI2032,"Math - ProbStat Requirement; SCI
Elective"
ME,ENGR2340,01,ENGR2340: Dynamics,"Lee, Chris",TF 9-10:40am; W 9:30- 10:30am,AC328,4,40,"yes, small",,Core ME
ME,ENGR3310,01,ENGR3310: Transport Phenomena,"Ferzoco, Alesandra; Storey, Brian",MR 10:50-12:30pm,AC417; AC409,4,32,"yes, small",,Core ME
Area,Course #,Section #,Course Title,Instructor / Teaching Team,Time,Location,Credits,Enroll Limits,Waitlist,Notes,Curriculum Category
ME,ENGR3330,01,ENGR3330: Mechanical Design,"Barrett, Dave",TF 10:50-12:30pm,AC128,4,28,"yes, large",,Core ME
MTH,MTH2110,01,MTH2110: Discrete Math,"Spence Adams, Sarah",MR 9-10:40am,AC326,4,33,"yes, large",,"Math - Adv ECE;
E:C"
MTH,MTH2110,02,MTH2110: Discrete Math,"Spence Adams, Sarah",MR 10:50-12:30pm,AC326,4,33,"yes, large",,"Math - Adv ECE;
E:C"
MTH,MTH2220,01,MTH2220: Linearity II,"Hoffman, Aaron",MR 1:30-3:10pm,AC328,4,32,no,,Requirement - Lin2
Research,"AHSE2097, ENGR2097, MTH2097, SCI2097",01,"AHSE2097, ENGR2097, MTH2097, SCI2097:
Cross-disciplinary Research Methods","Barrett, Dave; Huang, Jean; Morrow, Alex","W 1:30-3:10pm
required AC428; optional research lab time MR 6-8pm in AC417",AC318,2,25,"yes, large",See course description as enrollment in this course requires enrollment in a specific research activity or research course,Elective
SCI,SCI1121,01,SCI1121: Electricity and Magnetism,"Somerville, Mark",MR 9-10:40am,AC304,4,24,"yes, small",,SCI - Physics Foundation
SCI,SCI1240,01,SCI1240: Designing Better Drugs with Laboratory,"Pratt, Joanne",TF 10:50-12:30pm; LAB R 3:20-6:00pm,"AC417; AC406
lab",4,24,"yes, small",,SCI - Bio Foundation
SCI,SCI1240,02,SCI1240: Designing Better Drugs with Laboratory,"Pratt, Joanne",TF 1:30-3:10pm; LAB W 12:30-3:10pm,"AC417; AC406
lab",4,24,"yes, small",,SCI - Bio Foundation
SCI,SCI1410,01,SCI1410: Materials Science and Solid State Chemistry,"Vanasupa, Linda",MW 3:20-6:00pm,AC413,4,21,"yes, small",,"SCI - MatSci Chem
Requirement"
SCI,SCI1410,B1,"SCI1410: Materials Science and Solid State Chemistry:
Environmental and Societal Impact of Materials","Stolk, Jon",TR 3:20-6:00pm,AC413,4,21,"yes, small",Offered using EXPERIMENTAL Grading,"SCI - MatSci Chem
Requirement"
Area,Course #,Section #,Course Title,Instructor / Teaching Team,Time,Location,Credits,Enroll Limits,Waitlist,Notes,Curriculum Category
ADMIN,AWAY1000,01,Study Away Program,Administration,n/a,n/a,12,n/a,,"Enroll in this course block to confirm your
Study Away Semester",
ADMIN,OIP1000,01,The Olin Internship Practicum I,Phelps,n/a,n/a,1,n/a,,See Post Graduate Planning to Enroll,
ADMIN,OIP1001,01,The Olin Internship Practicum II,Phelps,n/a,n/a,1,n/a,,See Post Graduate Planning to Enroll,
