,Course Title,freshman fall,freshman spring,sophomore fall,sophomore spring,junior fall,junior spring,senior fall,senior spring
CIE2122S,"CIE2122S: Sustainability: Science, Society, and Systems",0.14507539694146177,0.16063684793767874,0.16953536954756973,0.17462382093047396,0.1775335556719618,0.17919743248412248,0.1801488889885839,0.18069296140624466
CIE2223,CIE2223: Curricular Innovation Experiment: Just Energy! Beginning Again,0.0687087931709471,0.06125865039300834,0.06634529340922718,0.06287234826634142,0.06524352861594253,0.06362458676140388,0.06472993192370582,0.0639752489038067
CIE2223E,CIE2223E: Curriculum Innovation Prototype: Environmental Consulting at Olin,0.9999999999992433,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755
CIE2223M,CIE2223M: Curriculum Innovation Prototype: K12 Outreach: Mathematics and Engineering for Everyone,0.9999999999992433,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755
CIE2223P,CIE2223P: Curriculum Innovation Prototype: Social Technology Enterprise with Purpose (STEP),0.9999999999992433,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755
CIE_MEE,CIE_MEE: Curriculum Innovation Prototype: K12 Outreach: Mathematics and Engineering for Everyone,0.9999999999992433,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755
CIE_STEP,CIE_STEP: Curriculum Innovation Prototype: Social Technology Enterprise with Purpose (STEP),0.9999999999992433,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755
CREDITS,Waitlist,0.3452618925752594,0.7686700349744389,0.5047806962694266,0.6692498599647152,0.5667443705827985,0.6306309686376972,0.5908136141170893,0.6156298004423871
ENGR1121,Real World Measurements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENGR1125,"Introduction to Sensors, Instrumentation and Measurement",0.06344630618381719,0.9386937590940342,0.12099048427931325,0.8849328909889596,0.1712167805801278,0.8380087818922336,0.21505580867278318,0.7970520025073113
ENGR1199,Special Topics in Engineering: Introduction to the  Microelectronics and Nanotechnology Revolution  ,1.120032582295957e-85,1.1200357760096856e-85,1.1200357760207773e-85,1.1200357760207773e-85,1.1200357760207773e-85,1.1200357760207773e-85,1.1200357760207773e-85,1.1200357760207773e-85
ENGR1199A,Special Topics in Engineering: Linear Systems Lab,-9.306640797682982e-91,-9.306660904774285e-91,-9.306660904787773e-91,-9.306660904787773e-91,-9.306660904787773e-91,-9.306660904787773e-91,-9.306660904787773e-91,-9.306660904787773e-91
ENGR1200,Design Nature,0.9998156617006099,0.000548951057131708,0.9990832452217484,0.0012808307084447579,0.998351902004514,0.0020116378847820915,0.9976216304761805,0.0027413741577171358
ENGR1330,ENGR1330: Fundamentals of Machine Shop Operations,0.8722760999626119,0.9159524237399104,0.8867005730802183,0.9062917541370288,0.8931707253287692,0.9019584240636206,0.896072936714801,0.9000146923869362
ENGR2110,ENGR2110: Principles Integrated Engineering,0.8620054163390886,0.06093014034314559,0.8285211050533808,0.09301483397009547,0.7977775261769463,0.12247335562908512,0.7695503473627598,0.1495206607529289
ENGR2125,"The Engineer's Orchestra I: Acoustics, Waves, Vibrations",-4.482981332995901e-41,-4.0751656208200465e-41,-4.075155350675365e-41,-4.075155350416729e-41,-4.0751553504167226e-41,-4.0751553504167226e-41,-4.0751553504167226e-41,-4.0751553504167226e-41
ENGR2141/AHSE2141,ENGR2141_and_AHSE2141: Engineering for Humanity,0.571290194365154,0.4066522995097387,0.4162656509772191,0.4157043189308001,0.4157370956026406,0.4157351817439472,0.4157352934958394,0.4157352869705481
ENGR2199,"ENGR2199: Special Topics in Engineering: Engineering Systems Analysis,",-0.014312823869187863,-0.3221967399637352,-0.11519618066219683,-0.25436951616696946,-0.16079867084713237,-0.223709450861948,-0.18141244875039955,-0.209850124887987
ENGR2199A,ENGR2199A: Special Topics in Engineering: Designing with Stakeholder Groups AC Reboot,0.16598768074994708,0.19938984030943688,0.1731836005525953,0.19374415745221493,0.1776130183057781,0.19026898144102378,0.1803395275179834,0.18812985166448842
ENGR2199B,ENGR2199B: Special Topics in Engineering: Engineering Systems Analysis: Signals,0.13101875877487779,-0.061863196585307145,0.07268179921654477,-0.021170193633259546,0.04429635537798568,-0.0013698996401751706,0.030484641020361095,0.008264475160685913
ENGR2199B/MTH2188B,Special Topics in Engineering and Mathematics: Regional Analysis For Development,1.3227450982642304e-05,-3.132698502677247e-05,-3.5609727947707962e-06,-2.086455700139743e-05,-1.0081084607377178e-05,-1.680126902027267e-05,-1.2613297196988129e-05,-1.5223211883104347e-05
ENGR2199C,ENGR2199C: Special Topics in Engineering: Fabrication Lab - Mech Proto,-0.1318595247039542,-0.32013210706131223,-0.22423074984190683,-0.2730805090653032,-0.24819766021547549,-0.2608723627467999,-0.2544161854325743,-0.2577048011148523
ENGR2199D,ENGR2199D: Special Topics in Engineering: Adaptive  Recreation,0.14507539694146177,0.16063684793767874,0.16953536954756973,0.17462382093047396,0.1775335556719618,0.17919743248412248,0.1801488889885839,0.18069296140624466
ENGR2199L,Small Satellite Laboratory Working Group,0.05000666781522458,0.049986959998779945,0.050005550367143846,0.049988014086710324,0.050004556046795434,0.049988952028343824,0.05000367128716113,0.049989786621438465
